time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased,a
33,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9036576875,0.0123884321986607,0.0094604123883928,0.0027443806849888,0.0072093674665178,0.0005583013305663,0.0001310736062185,0.000759165649414,0.0006584159720284,0.0013498129359653,0
34,14.0,0.5,0.6000000238418579,0.1375000029802322,0.8957201875,0.0132067756696428,0.0101404527064732,0.0029306884765624,0.0077327215401785,0.0005988303397042,0.0001413883579798,0.0008192527378626,0.0006767451695033,0.0014694013671874,0
35,14.0,0.5,0.6000000238418579,0.1375000029802322,0.887301,0.0140455735212053,0.0108477258649553,0.0031225295758928,0.0082778639090401,0.0006410466831751,0.0001523224901471,0.0008828225359235,0.0006965043945311,0.0015983623570033,0
36,14.0,0.5,0.6000000238418579,0.1375000029802322,0.8783952946428571,0.0148997165178571,0.0115796953124999,0.0033188796386718,0.008842968610491,0.0006848088989257,0.0001638729487827,0.0009498515886578,0.0007177768554687,0.0017372227085658,0
37,14.0,0.5,0.6000000238418579,0.1375000029802322,0.8690019375,0.0157633503069196,0.0123331496930803,0.0035185174037387,0.0094256844308035,0.0007299349888392,0.0001760295083181,0.0010202725219726,0.0007406447753905,0.0018865007324218,0
38,14.0,0.5,0.6000000238418579,0.1375000029802322,0.8591242142857143,0.0166297170758928,0.0131041922433035,0.0037200371442521,0.0100231215122767,0.0007762011980329,0.0001887739846365,0.0010939697788783,0.0007651887555803,0.0020467037179129,0
39,14.0,0.5,0.6000000238418579,0.1375000029802322,0.8487701875000001,0.0174912999441964,0.0138881940569196,0.0039218295898437,0.0106318219866071,0.0008233395298548,0.0002020790470667,0.00117077293178,0.0007914861973353,0.0022183161969865,0
40,14.0,0.5,0.6000000238418579,0.1375000029802322,0.8379530982142857,0.0183398258928571,0.0146798073381696,0.0041221085728236,0.0112477533482142,0.0008710379028319,0.0002159072854177,0.0012504513462611,0.0008196101684569,0.0024017928641182,0
41,14.0,0.5,0.6000000238418579,0.1375000029802322,0.8266914910714286,0.019166439453125,0.0154729775390625,0.0043189215262276,0.011866316266741,0.0009189401506696,0.0002302104928152,0.0013327105015345,0.0008496280168805,0.0025975478166852,0
42,14.0,0.5,0.6000000238418579,0.1375000029802322,0.8150093035714285,0.0199618362165178,0.0162610093470982,0.0045101924525669,0.0124823821149553,0.0009666489170619,0.000244929068429,0.0014171886509486,0.0008815998360769,0.0028059460100446,0
43,14.0,0.5,0.6000000238418579,0.1375000029802322,0.802936375,0.0207163420758928,0.0170366118861607,0.0046937317940847,0.0130903383091517,0.0010137296491349,0.0002599915640694,0.001503454345703,0.0009155768694196,0.0030272920968191,0
44,14.0,0.5,0.6000000238418579,0.1375000029802322,0.7905077232142858,0.0214203133370535,0.0177920234375,0.004867303641183,0.0136841584821428,0.0010597157156807,0.0002753146841866,0.0015910070626394,0.0009516000017438,0.0032618202078682,0
45,14.0,0.5,0.6000000238418579,0.1375000029802322,0.7777636339285714,0.0220642413504464,0.0185191400669642,0.0050286688058035,0.0142575069754464,0.0011041164027622,0.0002908033316475,0.0016792782331193,0.0009896979544502,0.0035096827218191,0
46,14.0,0.5,0.6000000238418579,0.1375000029802322,0.7647492232142857,0.0226390041852678,0.0192096615513392,0.0051756340680803,0.0148038530970982,0.0011464259033202,0.0003063512747627,0.0017676354806082,0.0010298860124859,0.0037709419991629,0
47,14.0,0.5,0.6000000238418579,0.1375000029802322,0.7515137321428572,0.0231362075892857,0.0198552801339285,0.0053061187220981,0.0153166064453125,0.0011861340855189,0.0003218420584542,0.0018553885149274,0.0010721643589564,0.0040455593261718,0
48,14.0,0.5,0.6000000238418579,0.1375000029802322,0.7381097857142856,0.0235484478236607,0.0204478819754464,0.0054182214006696,0.0157892758091517,0.0012227380719865,0.0003371503862653,0.0019417977992466,0.0011165172642298,0.0043333881138392,0
49,14.0,0.5,0.6000000238418579,0.1375000029802322,0.7245927142857143,0.0238694263392857,0.02097974609375,0.0055102670200892,0.0162156358816964,0.0012557557896204,0.0003521438860211,0.0020260856759207,0.0011629111328124,0.0046341667131696,0
50,14.0,0.5,0.6000000238418579,0.1375000029802322,0.7110197142857143,0.0240942463727678,0.0214437522321428,0.0055808593749999,0.0165898869977678,0.0012847381068637,0.0003666852547781,0.0021074497070312,0.0012112945731026,0.0049475119977678,0
51,14.0,0.5,0.6000000238418579,0.1375000029802322,0.6974486607142857,0.0242195862165178,0.0218335786830357,0.0056289330357142,0.01690681640625,0.001309281337193,0.0003806347089494,0.002185076939174,0.0012615972202845,0.0052729199218749,0
52,14.0,0.5,0.6000000238418579,0.1375000029802322,0.6839369910714286,0.0242438105468749,0.0221438900669642,0.005653793875558,0.017161958984375,0.001329040056501,0.0003938526044572,0.0022581610281807,0.0013137299107142,0.0056097626255579,0
53,14.0,0.5,0.6000000238418579,0.1375000029802322,0.6705410803571429,0.024166943359375,0.0223704988839285,0.0056551301618303,0.0173517354910714,0.0013437365722655,0.0004062026105607,0.0023259185616629,0.0013675851353236,0.0059572922014508,0
54,14.0,0.5,0.6000000238418579,0.1375000029802322,0.6573148482142858,0.0239906983816964,0.0225104659598214,0.0056330215541294,0.0174735491071428,0.0013531698346818,0.0004175543823242,0.0023876083286829,0.0014230370570591,0.0063146439732142,0
55,14.0,0.5,0.6000000238418579,0.1375000029802322,0.6443095535714285,0.0237184670758928,0.0225621944754464,0.0055879388253348,0.0175258588169642,0.0013572207205635,0.000427786503383,0.0024425468749999,0.0014799432373046,0.0066808459123883,0
56,14.0,0.5,0.6000000238418579,0.1375000029802322,0.6315724107142857,0.0233551185825892,0.0225254718191964,0.0055207302594865,0.0175082307477678,0.001355855555943,0.0004367894941056,0.0024901253836495,0.0015381454554966,0.0070548277064731,0
57,14.0,0.5,0.6000000238418579,0.1375000029802322,0.6191462142857143,0.022906841796875,0.0224014497767857,0.0054325795200892,0.0174213420758928,0.0013491267438615,0.0004444680655342,0.0025298233468191,0.0015974715576171,0.0074354322684151,0
58,14.0,0.5,0.6000000238418579,0.1375000029802322,0.6070690535714285,0.0223809188058035,0.0221926015625,0.0053249660295758,0.017266943359375,0.0013371701136997,0.0004507433820451,0.0025612212611606,0.0016577379324776,0.0078214321289062,0
